author1,author2,acc_author1,acc_author2
A1,A591,0.0,1.0
A133,A248,1.0,1.0
A328,A591,1.0,1.0
A138,A305,0.0,1.0
A305,A591,1.0,1.0
A248,A328,1.0,1.0
A248,A461,1.0,1.0
A1,A248,1.0,1.0
A133,A461,1.0,1.0
A138,A591,1.0,1.0
A1,A328,1.0,1.0
A138,A248,1.0,0.0
A1,A461,1.0,1.0
A1,A233,1.0,1.0
A133,A233,1.0,1.0
A1,A305,0.0,1.0
A1,A138,1.0,1.0
A1,A133,1.0,1.0
A138,A461,0.0,1.0
A133,A138,0.0,1.0
A248,A591,1.0,1.0
A133,A305,0.0,1.0
A133,A591,1.0,0.0
A133,A328,0.0,1.0
A233,A328,1.0,1.0
A138,A233,1.0,1.0
A248,A305,1.0,1.0
A305,A328,1.0,1.0
A461,A591,1.0,1.0
A233,A591,1.0,0.0
A233,A461,1.0,1.0
A233,A248,0.0,1.0
A138,A328,0.0,1.0
A233,A305,1.0,1.0
A305,A461,1.0,1.0
A328,A461,1.0,1.0
