package,filepath,class_path,method_name,signature,line_range,author_lines_map,author_edit_ratio_map,dominant_author,test_class,code
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,offer,boolean offer(T),"[71, 97]","{'A460': [(71, 71), (76, 86), (88, 97)], 'A461': [(72, 72), (87, 87)], 'A463': [(73, 75)]}","{'A460': 0.8148148148148148, 'A461': 0.07407407407407407, 'A463': 0.1111111111111111}",A460,,"    @Override
    public boolean offer(final T e) {
        if (null == e) {
            throw new NullPointerException(""Null is not a valid element"");
        }
        // local load of field to avoid repeated loads after volatile reads
        final AtomicReferenceArray<Object> buffer = producerBuffer;
        final long index = lpProducerIndex();
        final int mask = producerMask;
        final int offset = calcWrappedOffset(index, mask);
        if (index < producerLookAhead) {
            return writeToQueue(buffer, e, index, offset);
        } else {
            final int lookAheadStep = producerLookAheadStep;
            // go around the buffer or resize if full (unless we hit max capacity)
            int lookAheadElementOffset = calcWrappedOffset(index + lookAheadStep, mask);
            if (null == lvElement(buffer, lookAheadElementOffset)) { // LoadLoad
                producerLookAhead = index + lookAheadStep - 1; // joy, there's plenty of room
                return writeToQueue(buffer, e, index, offset);
            } else if (null == lvElement(buffer, calcWrappedOffset(index + 1, mask))) { // buffer is not full
                return writeToQueue(buffer, e, index, offset);
            } else {
                resize(buffer, index, offset, e, mask); // add a buffer and link old to new
                return true;
            }
        }
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,writeToQueue,"boolean writeToQueue(AtomicReferenceArray<Object>,T,long,int)","[99, 103]","{'A460': [(99, 99), (102, 103)], 'A461': [(100, 101)]}","{'A460': 0.6, 'A461': 0.4}",A460,,"    private boolean writeToQueue(final AtomicReferenceArray<Object> buffer, final T e, final long index, final int offset) {
        soElement(buffer, offset, e); // StoreStore
        soProducerIndex(index + 1); // this ensures atomic write of long on 32bit platforms
        return true;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,resize,"void resize(AtomicReferenceArray<Object>,long,int,T,long)","[105, 116]","{'A460': [(105, 107), (109, 110), (112, 114), (116, 116)], 'A461': [(108, 108), (111, 111), (115, 115)]}","{'A460': 0.75, 'A461': 0.25}",A460,,"    private void resize(final AtomicReferenceArray<Object> oldBuffer, final long currIndex, final int offset, final T e,
            final long mask) {
        final int capacity = oldBuffer.length();
        final AtomicReferenceArray<Object> newBuffer = new AtomicReferenceArray<>(capacity);
        producerBuffer = newBuffer;
        producerLookAhead = currIndex + mask - 1;
        soElement(newBuffer, offset, e); // StoreStore
        soNext(oldBuffer, newBuffer);
        soElement(oldBuffer, offset, HAS_NEXT); // new buffer is visible after element is
                                                                 // inserted
        soProducerIndex(currIndex + 1); // this ensures correctness on 32bit platforms
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,soNext,"void soNext(AtomicReferenceArray<Object>,AtomicReferenceArray<Object>)","[118, 120]","{'A460': [(118, 120)]}",{'A460': 1.0},A460,,"    private void soNext(AtomicReferenceArray<Object> curr, AtomicReferenceArray<Object> next) {
        soElement(curr, calcDirectOffset(curr.length() - 1), next);
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,lvNextBufferAndUnlink,"AtomicReferenceArray<Object> lvNextBufferAndUnlink(AtomicReferenceArray<Object>,int)","[122, 128]","{'A460': [(122, 122), (128, 128)], 'A461': [(123, 127)]}","{'A460': 0.2857142857142857, 'A461': 0.7142857142857143}",A461,,"    @SuppressWarnings(""unchecked"")
    private AtomicReferenceArray<Object> lvNextBufferAndUnlink(AtomicReferenceArray<Object> curr, int nextIndex) {
        int nextOffset = calcDirectOffset(nextIndex);
        AtomicReferenceArray<Object> nextBuffer = (AtomicReferenceArray<Object>)lvElement(curr, nextOffset);
        soElement(curr, nextOffset, null); // Avoid GC nepotism
        return nextBuffer;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,poll,T poll(),"[134, 154]","{'A460': [(135, 136), (138, 142), (144, 145), (148, 149), (151, 154)], 'A461': [(137, 137), (143, 143), (146, 147), (150, 150)], 'A462': [(134, 134)]}","{'A460': 0.7142857142857143, 'A461': 0.23809523809523808, 'A462': 0.047619047619047616}",A460,,"    @Nullable
    @SuppressWarnings(""unchecked"")
    @Override
    public T poll() {
        // local load of field to avoid repeated loads after volatile reads
        final AtomicReferenceArray<Object> buffer = consumerBuffer;
        final long index = lpConsumerIndex();
        final int mask = consumerMask;
        final int offset = calcWrappedOffset(index, mask);
        final Object e = lvElement(buffer, offset); // LoadLoad
        boolean isNextBuffer = e == HAS_NEXT;
        if (null != e && !isNextBuffer) {
            soElement(buffer, offset, null); // StoreStore
            soConsumerIndex(index + 1); // this ensures correctness on 32bit platforms
            return (T) e;
        } else if (isNextBuffer) {
            return newBufferPoll(lvNextBufferAndUnlink(buffer, mask + 1), index, mask);
        }

        return null;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,newBufferPoll,"T newBufferPoll(AtomicReferenceArray<Object>,long,int)","[156, 166]","{'A460': [(156, 159), (164, 164), (166, 166)], 'A461': [(160, 163), (165, 165)]}","{'A460': 0.5454545454545454, 'A461': 0.45454545454545453}",A460,,"    @SuppressWarnings(""unchecked"")
    private T newBufferPoll(AtomicReferenceArray<Object> nextBuffer, final long index, final int mask) {
        consumerBuffer = nextBuffer;
        final int offsetInNew = calcWrappedOffset(index, mask);
        final T n = (T) lvElement(nextBuffer, offsetInNew); // LoadLoad
        if (null != n) {
            soElement(nextBuffer, offsetInNew, null); // StoreStore
            soConsumerIndex(index + 1); // this ensures correctness on 32bit platforms
        }
        return n;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,peek,T peek(),"[173, 186]","{'A460': [(173, 173), (176, 179), (181, 181), (183, 186)], 'A461': [(174, 175), (180, 180), (182, 182)]}","{'A460': 0.7142857142857143, 'A461': 0.2857142857142857}",A460,,"    @SuppressWarnings(""unchecked"")
    @Nullable
    public T peek() {
        final AtomicReferenceArray<Object> buffer = consumerBuffer;
        final long index = lpConsumerIndex();
        final int mask = consumerMask;
        final int offset = calcWrappedOffset(index, mask);
        final Object e = lvElement(buffer, offset); // LoadLoad
        if (e == HAS_NEXT) {
            return newBufferPeek(lvNextBufferAndUnlink(buffer, mask + 1), index, mask);
        }

        return (T) e;
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,newBufferPeek,"T newBufferPeek(AtomicReferenceArray<Object>,long,int)","[188, 193]","{'A460': [(188, 191), (193, 193)], 'A461': [(192, 192)]}","{'A460': 0.8333333333333334, 'A461': 0.16666666666666666}",A460,,"    @SuppressWarnings(""unchecked"")
    private T newBufferPeek(AtomicReferenceArray<Object> nextBuffer, final long index, final int mask) {
        consumerBuffer = nextBuffer;
        final int offsetInNew = calcWrappedOffset(index, mask);
        return (T) lvElement(nextBuffer, offsetInNew); // LoadLoad
    }
"
io.reactivex.rxjava3.operators,../projects/RxJava/src/main/java/io/reactivex/rxjava3/operators/SpscLinkedArrayQueue.java,SpscLinkedArrayQueue,clear,void clear(),"[195, 198]","{'A460': [(195, 195)], 'A461': [(196, 198)]}","{'A460': 0.25, 'A461': 0.75}",A461,,"    @Override
    public void clear() {
        while (poll() != null || !isEmpty()) { } // NOPMD
    }
"
